cohort_count,person_years,gender,age_group,calendar_year,incidence_rate,cohort_id,database_id
62164,689967663.600274,,,,0.09009697595917206,135,-274552186
14068,365198563.173173,Female,,,0.038521509717246924,135,-274552186
48096,324173117.160848,Male,,,0.14836517111977474,135,-274552186
0,595983.266253,No matching concept,,,0,135,-274552186
0,61506842.967832,,0-9,,0,135,-274552186
-5,76823819.550996,,10-19,,-6.508398084374048e-5,135,-274552186
167,88511080.197128,,20-29,,0.0018867694262465775,135,-274552186
1712,91898854.020531,,30-39,,0.018629176807988534,135,-274552186
9187,98526955.293633,,40-49,,0.09324351871648348,135,-274552186
22731,114032039.575632,,50-59,,0.19933871291430874,135,-274552186
20624,89488396.632442,,60-69,,0.23046563326762337,135,-274552186
5363,56659879.726214,,70-79,,0.09465251295827899,135,-274552186
2376,12519795.635866,,80-89,,0.18977945560016732,135,-274552186
0,29798181.201918,Female,0-9,,0,135,-274552186
-5,38068336.895278,Female,10-19,,-1.313427485354686e-4,135,-274552186
28,47383321.806985,Female,20-29,,5.909252228887082e-4,135,-274552186
371,49864736.260096,Female,30-39,,0.007440127589662815,135,-274552186
1712,52810510.069814004,Female,40-49,,0.032417789522138384,135,-274552186
4456,60888472.405202,Female,50-59,,0.07318298232785525,135,-274552186
4555,47685849.530457,Female,60-69,,0.09552099930799633,135,-274552186
1786,31389628.11499,Female,70-79,,0.05689777506943774,135,-274552186
1158,7309526.888433,Female,80-89,,0.15842338603781364,135,-274552186
0,31676184.10404,Male,0-9,,0,135,-274552186
-5,38714679.258044,Male,10-19,,-1.2914997865986756e-4,135,-274552186
139,41066983.613962,Male,20-29,,0.0033847141369482666,135,-274552186
1341,41965177.960299,Male,30-39,,0.031955065251210134,135,-274552186
7475,45635010.502396,Male,40-49,,0.1637996774342264,135,-274552186
18275,53052698.110882,Male,50-59,,0.3444688140423058,135,-274552186
16069,41721980.145107,Male,60-69,,0.38514471135149403,135,-274552186
3577,25141087.550992,Male,70-79,,0.14227705912661925,135,-274552186
1218,5199315.915126,Male,80-89,,0.23426158746318132,135,-274552186
0,32477.661874,No matching concept,0-9,,0,135,-274552186
0,40803.397674,No matching concept,10-19,,0,135,-274552186
0,60774.776181,No matching concept,20-29,,0,135,-274552186
0,68939.800136,No matching concept,30-39,,0,135,-274552186
0,81434.721423,No matching concept,40-49,,0,135,-274552186
0,90869.059548,No matching concept,50-59,,0,135,-274552186
0,80566.956878,No matching concept,60-69,,0,135,-274552186
0,129164.06023199999,No matching concept,70-79,,0,135,-274552186
0,10952.832307,No matching concept,80-89,,0,135,-274552186
0,4204040.733745,,,2006,0,135,-274552186
0,7613096.580426,,,2007,0,135,-274552186
0,9920822.997946,,,2008,0,135,-274552186
0,11887460.156059,,,2009,0,135,-274552186
0,13953039.674194999,,,2010,0,135,-274552186
0,16444502.321699,,,2011,0,135,-274552186
0,19087612.848732,,,2012,0,135,-274552186
0,20932038.225873,,,2013,0,135,-274552186
0,67206436.391512,,,2014,0,135,-274552186
0,71487261.765916,,,2015,0,135,-274552186
7772,72771827.553728,,,2016,0.10679957149986198,135,-274552186
9890,78475711.739904,,,2017,0.12602625424766997,135,-274552186
9580,71502993.434634,,,2018,0.13398040473309364,135,-274552186
10352,68773846.568104,,,2019,0.15052233540185697,135,-274552186
9882,65480192.227242,,,2020,0.150915867285569,135,-274552186
9879,60593307.885008,,,2021,0.16303780639848947,135,-274552186
4809,29631149.88364,,,2022,0.16229542285347331,135,-274552186
0,2322.611911,,,2023,0,135,-274552186
0,389653.607119,,0-9,2006,0,135,-274552186
0,674574.091719,,0-9,2007,0,135,-274552186
0,846244.25462,,0-9,2008,0,135,-274552186
0,977865.336071,,0-9,2009,0,135,-274552186
0,1117089.73306,,0-9,2010,0,135,-274552186
0,1271435.14579,,0-9,2011,0,135,-274552186
0,1411226.992471,,0-9,2012,0,135,-274552186
0,1473299.893223,,0-9,2013,0,135,-274552186
0,6821994.814511,,0-9,2014,0,135,-274552186
0,7086739.665982,,0-9,2015,0,135,-274552186
0,7098173.511293,,0-9,2016,0,135,-274552186
0,7010877.423682,,0-9,2017,0,135,-274552186
0,6192638.097194,,0-9,2018,0,135,-274552186
0,5930317.021219,,0-9,2019,0,135,-274552186
0,5588324.862424,,0-9,2020,0,135,-274552186
0,5172823.893224,,0-9,2021,0,135,-274552186
0,2443504.689938,,0-9,2022,0,135,-274552186
0,59.934292,,0-9,2023,0,135,-274552186
0,366969.524983,,10-19,2006,0,135,-274552186
0,711385.711157,,10-19,2007,0,135,-274552186
0,935193.199179,,10-19,2008,0,135,-274552186
0,1110967.340178,,10-19,2009,0,135,-274552186
0,1294942.8637919999,,10-19,2010,0,135,-274552186
0,1499177.667352,,10-19,2011,0,135,-274552186
0,1700924.350445,,10-19,2012,0,135,-274552186
0,1827065.169062,,10-19,2013,0,135,-274552186
0,8160035.726215,,10-19,2014,0,135,-274552186
0,8432858.735114,,10-19,2015,0,135,-274552186
-5,8568024.1779600009,,10-19,2016,-5.835651132803494e-4,135,-274552186
0,9043841.574264,,10-19,2017,0,135,-274552186
0,8103378.2861049995,,10-19,2018,0,135,-274552186
-5,7778065.330595,,10-19,2019,-6.428333766151993e-4,135,-274552186
0,7315240.574949,,10-19,2020,0,135,-274552186
0,6749837.426421,,10-19,2021,0,135,-274552186
-5,3225848.85421,,10-19,2022,-0.0015499796258199097,135,-274552186
0,63.039015,,10-19,2023,0,135,-274552186
0,364839.06639299996,,20-29,2006,0,135,-274552186
0,738012.202602,,20-29,2007,0,135,-274552186
0,1021897.984942,,20-29,2008,0,135,-274552186
0,1260698.099932,,20-29,2009,0,135,-274552186
0,1493138.5790549999,,20-29,2010,0,135,-274552186
0,1762739.397673,,20-29,2011,0,135,-274552186
0,2061318.395618,,20-29,2012,0,135,-274552186
0,2272163.509925,,20-29,2013,0,135,-274552186
0,8857200.876112,,20-29,2014,0,135,-274552186
0,9331108.9692,,20-29,2015,0,135,-274552186
28,9512081.598905,,20-29,2016,0.0029436248742045344,135,-274552186
24,10378942.967830999,,20-29,2017,0.0023123742055801604,135,-274552186
28,9472374.121835,,20-29,2018,0.0029559643274072673,135,-274552186
27,9163626.691308001,,20-29,2019,0.002946431681422638,135,-274552186
30,8713065.83436,,20-29,2020,0.0034431049380684023,135,-274552186
18,8132489.453799,,20-29,2021,0.002213344401152774,135,-274552186
12,3975226.633812,,20-29,2022,0.0030186958142038637,135,-274552186
0,155.813826,,20-29,2023,0,135,-274552186
0,473832.569473,,30-39,2006,0,135,-274552186
0,902809.234771,,30-39,2007,0,135,-274552186
0,1192587.132101,,30-39,2008,0,135,-274552186
0,1430173.779603,,30-39,2009,0,135,-274552186
0,1658755.32375,,30-39,2010,0,135,-274552186
0,1928450.4394250002,,30-39,2011,0,135,-274552186
0,2234834.587269,,30-39,2012,0,135,-274552186
0,2454023.293635,,30-39,2013,0,135,-274552186
0,8832782.852839999,,30-39,2014,0,135,-274552186
0,9472706.146474,,30-39,2015,0,135,-274552186
247,9693879.572896,,30-39,2016,0.025479994685575606,135,-274552186
277,10568306.976044001,,30-39,2017,0.02621044228066968,135,-274552186
266,9754939.258042,,30-39,2018,0.02726823745014187,135,-274552186
289,9489748.180698,,30-39,2019,0.030453916636884158,135,-274552186
255,9085853.034908,,30-39,2020,0.02806560914206797,135,-274552186
270,8526516.583162,,30-39,2021,0.0316659209381227,135,-274552186
108,4198428.429842,,30-39,2022,0.025723911174082913,135,-274552186
0,226.62559800000002,,30-39,2023,0,135,-274552186
0,647897.169062,,40-49,2006,0,135,-274552186
0,1170309.185489,,40-49,2007,0,135,-274552186
0,1503666.568104,,40-49,2008,0,135,-274552186
0,1771782.8747440001,,40-49,2009,0,135,-274552186
0,2045689.097878,,40-49,2010,0,135,-274552186
0,2362555.685148,,40-49,2011,0,135,-274552186
0,2676116.531142,,40-49,2012,0,135,-274552186
0,2854214.899384,,40-49,2013,0,135,-274552186
0,9705435.561943,,40-49,2014,0,135,-274552186
0,10172669.141684001,,40-49,2015,0,135,-274552186
1206,10208981.634496,,40-49,2016,0.1181312733412061,135,-274552186
1541,11192552.862423,,40-49,2017,0.137680832866435,135,-274552186
1422,10230682.469541999,,40-49,2018,0.1389936599277193,135,-274552186
1484,9809911.277208,,40-49,2019,0.15127557814389953,135,-274552186
1485,9289504.777549,,40-49,2020,0.15985782187108272,135,-274552186
1434,8632652.292949,,40-49,2021,0.16611348996081612,135,-274552186
615,4252108.273785,,40-49,2022,0.14463413450489582,135,-274552186
0,224.99110299999998,,40-49,2023,0,135,-274552186
0,716410.0095830001,,50-59,2006,0,135,-274552186
0,1263610.119096,,50-59,2007,0,135,-274552186
0,1631908.703627,,50-59,2008,0,135,-274552186
0,1949470.6201230001,,50-59,2009,0,135,-274552186
0,2289668.731006,,50-59,2010,0,135,-274552186
0,2700432.2464070003,,50-59,2011,0,135,-274552186
0,3128245.894593,,50-59,2012,0,135,-274552186
0,3421196.427105,,50-59,2013,0,135,-274552186
0,11276803.581108999,,50-59,2014,0,135,-274552186
0,11967295.438741,,50-59,2015,0,135,-274552186
2997,12040818.173853,,50-59,2016,0.24890335164333566,135,-274552186
3657,13091624.019165,,50-59,2017,0.2793389112493965,135,-274552186
3638,11878823.945243,,50-59,2018,0.3062592742151781,135,-274552186
3808,11300524.640656,,50-59,2019,0.3369755052168042,135,-274552186
3559,10716507.003423,,50-59,2020,0.33210448132616405,135,-274552186
3454,9880405.141683001,,50-59,2021,0.3495808067048205,135,-274552186
1618,4777973.114305,,50-59,2022,0.33863731781072465,135,-274552186
0,321.765914,,50-59,2023,0,135,-274552186
0,1244366.231349,,60-69,2006,0,135,-274552186
0,997494.948665,,60-69,2007,0,135,-274552186
0,1303569.494866,,60-69,2008,0,135,-274552186
0,1585102.417523,,60-69,2009,0,135,-274552186
0,1890379.928816,,60-69,2010,0,135,-274552186
0,2284749.927447,,60-69,2011,0,135,-274552186
0,2699210.869268,,60-69,2012,0,135,-274552186
0,3010132.1998630003,,60-69,2013,0,135,-274552186
0,7783928.17796,,60-69,2014,0,135,-274552186
0,8621556.005476,,60-69,2015,0,135,-274552186
2361,8962336.041067,,60-69,2016,0.2634357816066573,135,-274552186
3240,9933783.359343,,60-69,2017,0.3261597200982534,135,-274552186
3127,9226473.952087,,60-69,2018,0.3389160383737584,135,-274552186
3412,8990001.292265,,60-69,2019,0.3795327596822134,135,-274552186
3331,8737425.500342,,60-69,2020,0.3812335796018653,135,-274552186
3391,8127159.644079,,60-69,2021,0.4172429420000991,135,-274552186
1762,4090213.930185,,60-69,2022,0.43078431350418506,135,-274552186
0,512.711841,,60-69,2023,0,135,-274552186
0,72.555783,,70-79,2006,0,135,-274552186
0,1154901.086927,,70-79,2007,0,135,-274552186
0,1485755.660507,,70-79,2008,0,135,-274552186
0,1801399.6878850001,,70-79,2009,0,135,-274552186
0,2163375.416838,,70-79,2010,0,135,-274552186
0,2634961.812457,,70-79,2011,0,135,-274552186
0,3175735.227926,,70-79,2012,0,135,-274552186
0,3619942.8336759997,,70-79,2013,0,135,-274552186
0,5768254.800822,,70-79,2014,0,135,-274552186
0,6402327.663245,,70-79,2015,0,135,-274552186
931,6672217.475701001,,70-79,2016,0.13953382116073587,135,-274552186
751,4486456.906228,,70-79,2017,0.1673926699167618,135,-274552186
695,4177511.0472279997,,70-79,2018,0.16636700469318194,135,-274552186
865,4028197.5167699996,,70-79,2019,0.21473624279814316,135,-274552186
791,3877674.3408620004,,70-79,2020,0.20398824926184028,135,-274552186
889,3477358.787131,,70-79,2021,0.2556538034815415,135,-274552186
441,1733262.485968,,70-79,2022,0.25443347650469017,135,-274552186
0,474.42026000000004,,70-79,2023,0,135,-274552186
0,15315.367557,,80-89,2016,0,135,-274552186
400,2769325.650924,,80-89,2017,0.14443949553803392,135,-274552186
404,2466172.257358,,80-89,2018,0.16381661856532417,135,-274552186
466,2283454.617385,,80-89,2019,0.2040767512750749,135,-274552186
431,2156596.2984249997,,80-89,2020,0.19985196131272548,135,-274552186
423,1894064.66256,,80-89,2021,0.223329228595753,135,-274552186
252,934583.4715949999,,80-89,2022,0.26963883661448246,135,-274552186
0,283.310062,,80-89,2023,0,135,-274552186
0,2413369.845312,Female,,2006,0,135,-274552186
0,4329717.889116,Female,,2007,0,135,-274552186
0,5617628.914442,Female,,2008,0,135,-274552186
0,6717461.075976,Female,,2009,0,135,-274552186
0,7861491.466119,Female,,2010,0,135,-274552186
0,9239272.528406,Female,,2011,0,135,-274552186
0,10710936.651608,Female,,2012,0,135,-274552186
0,11735438.368241,Female,,2013,0,135,-274552186
0,35410447.676934,Female,,2014,0,135,-274552186
0,37814634.236826,Female,,2015,0,135,-274552186
1798,38542594.332648,Female,,2016,0.04664968799147443,135,-274552186
2223,41182741.661876,Female,,2017,0.05397892200212334,135,-274552186
2190,37326000.462698,Female,,2018,0.05867223846253209,135,-274552186
2333,35753913.697468,Female,,2019,0.06525159790172054,135,-274552186
2202,33961425.659138,Female,,2020,0.06483826745381367,135,-274552186
2208,31290209.284051,Female,,2021,0.07056520395743868,135,-274552186
1114,15289788.736481,Female,,2022,0.07285908387615768,135,-274552186
0,1490.685833,Female,,2023,0,135,-274552186
0,1781606.537988,Male,,2006,0,135,-274552186
0,3263547.019851,Male,,2007,0,135,-274552186
0,4273459.5783710005,Male,,2008,0,135,-274552186
0,5126197.442848,Male,,2009,0,135,-274552186
0,6032372.281998,Male,,2010,0,135,-274552186
0,7130091.214237,Male,,2011,0,135,-274552186
0,8291886.138262,Male,,2012,0,135,-274552186
0,9111606.609172,Male,,2013,0,135,-274552186
0,31731963.707049,Male,,2014,0,135,-274552186
0,33639754.896647,Male,,2015,0,135,-274552186
5974,34206986.962354,Male,,2016,0.17464268357147616,135,-274552186
7667,37272309.760437,Male,,2017,0.20570230418449142,135,-274552186
7390,34160470.663928,Male,,2018,0.21633191394530535,135,-274552186
8019,33008724.511977002,Male,,2019,0.24293577284667142,135,-274552186
7680,31508613.752224,Male,,2020,0.2437428717237018,135,-274552186
7671,29295149.776864998,Male,,2021,0.26185221985306084,135,-274552186
3695,14337547.222451,Male,,2022,0.2577149314782407,135,-274552186
0,829.084189,Male,,2023,0,135,-274552186
0,9064.350445,No matching concept,,2006,0,135,-274552186
0,19831.671459,No matching concept,,2007,0,135,-274552186
0,29734.505133,No matching concept,,2008,0,135,-274552186
0,43801.637235,No matching concept,,2009,0,135,-274552186
0,59175.926078000004,No matching concept,,2010,0,135,-274552186
0,75138.579056,No matching concept,,2011,0,135,-274552186
0,84790.058862,No matching concept,,2012,0,135,-274552186
0,84993.24846,No matching concept,,2013,0,135,-274552186
0,64025.007529,No matching concept,,2014,0,135,-274552186
0,32872.632443,No matching concept,,2015,0,135,-274552186
0,22246.258726,No matching concept,,2016,0,135,-274552186
0,20660.317591,No matching concept,,2017,0,135,-274552186
0,16522.308008,No matching concept,,2018,0,135,-274552186
0,11208.358659,No matching concept,,2019,0,135,-274552186
0,10152.81588,No matching concept,,2020,0,135,-274552186
0,7948.824092,No matching concept,,2021,0,135,-274552186
0,3813.924708,No matching concept,,2022,0,135,-274552186
0,-5,No matching concept,,2023,0,135,-274552186
0,3586180.81588,Female,70-79,2015,0,135,-274552186
0,478522.861054,Female,10-19,2008,0,135,-274552186
6,4930853.073238,Female,20-29,2018,0.0012168279830856753,135,-274552186
222,1255444.180698,Female,80-89,2020,0.1768298450963967,135,-274552186
61,5002335.890486,Female,30-39,2019,0.012194303088686347,135,-274552186
0,3005399.438741,Female,0-9,2018,0,135,-274552186
0,1366103.748118,Female,20-29,2013,0,135,-274552186
0,295287.84668,Female,30-39,2006,0,135,-274552186
0,324040.594114,Female,0-9,2007,0,135,-274552186
731,6943168.752909,Female,50-59,2017,0.10528334050554809,135,-274552186
0,704223.392197,Female,60-69,2006,0,135,-274552186
0,639283.86037,Female,20-29,2008,0,135,-274552186
319,1860583.624914,Female,70-79,2021,0.17145157881024822,135,-274552186
0,3609839.778234,Female,10-19,2020,0,135,-274552186
305,2494467.247091,Female,50-59,2022,0.12227059720093947,135,-274552186
0,6001591.540041,Female,50-59,2014,0,135,-274552186
0,1025327.723477,Female,40-49,2009,0,135,-274552186
0,1254827.605749,Female,60-69,2011,0,135,-274552186
0,1348154.992471,Female,30-39,2012,0,135,-274552186
235,2400402.124572,Female,70-79,2017,0.09790026329105225,135,-274552186
0,4467830.663929,Female,10-19,2017,0,135,-274552186
0,1660136.561259,Female,60-69,2013,0,135,-274552186
-5,4152391.526352,Female,20-29,2021,-0.00120412537408115,135,-274552186
186,1443508.106776,Female,80-89,2018,0.12885275747804512,135,-274552186
5,4482140.706366,Female,20-29,2020,0.0011155383839018,135,-274552186
0,1926681.675565,Female,50-59,2013,0,135,-274552186
0,4768217.048597,Female,30-39,2014,0,135,-274552186
-5,4242703.173169,Female,10-19,2016,-0.0011784939449971826,135,-274552186
404,2137193.993155,Female,60-69,2022,0.1890329101120115,135,-274552186
0,2879803.164956,Female,0-9,2019,0,135,-274552186
125,542442.006845,Female,80-89,2022,0.23043938047319795,135,-274552186
0,188.919918,Female,80-89,2023,0,135,-274552186
206,2234844.355921,Female,70-79,2018,0.09217644148426861,135,-274552186
0,655916.202601,Female,10-19,2010,0,135,-274552186
0,1500132.629706,Female,70-79,2011,0,135,-274552186
688,5274041.623546,Female,60-69,2017,0.13045024084156231,135,-274552186
251,4863034.340862,Female,40-49,2020,0.05161386541957029,135,-274552186
0,722714.275154,Female,30-39,2008,0,135,-274552186
523,4796255.994524,Female,60-69,2016,0.10904338729982753,135,-274552186
662,5614619.04449,Female,50-59,2020,0.11790648568573227,135,-274552186
0,1292700.659822,Female,50-59,2010,0,135,-274552186
0,5153189.188227,Female,30-39,2015,0,135,-274552186
0,6386585.196441,Female,50-59,2015,0,135,-274552186
0,1188155.997262,Female,0-9,2022,0,135,-274552186
0,4176502.814511,Female,10-19,2015,0,135,-274552186
0,3440213.98768,Female,0-9,2015,0,135,-274552186
0,914202.918549,Female,10-19,2013,0,135,-274552186
0,2716435.824778,Female,0-9,2020,0,135,-274552186
0,385208.73922,Female,40-49,2006,0,135,-274552186
276,5393857.713895,Female,40-49,2018,0.051169314179163906,135,-274552186
55,5289719.474333,Female,30-39,2016,0.010397526800215648,135,-274552186
0,565490.283368,Female,10-19,2009,0,135,-274552186
0,865430.491444,Female,30-39,2009,0,135,-274552186
0,685539.129363,Female,40-49,2007,0,135,-274552186
0,3255655.438741,Female,70-79,2014,0,135,-274552186
0,670849.820671,Female,0-9,2012,0,135,-274552186
0,410011.069131,Female,50-59,2006,0,135,-274552186
0,1237989.40178,Female,70-79,2010,0,135,-274552186
0,240177.69473,Female,20-29,2006,0,135,-274552186
0,187277.634497,Female,0-9,2006,0,135,-274552186
0,147.583847,Female,40-49,2023,0,135,-274552186
0,5159655.904175,Female,40-49,2014,0,135,-274552186
267,2154762.058864,Female,70-79,2019,0.12391159334816003,135,-274552186
117,2212881.648186,Female,40-49,2022,0.05287223566425716,135,-274552186
5,5124937.812457,Female,20-29,2016,9.756215944409475e-4,135,-274552186
0,1803232.804928,Female,70-79,2012,0,135,-274552186
0,4002960.563997,Female,10-19,2018,0,135,-274552186
0,5018321.344285,Female,20-29,2015,0,135,-274552186
0,1039128.180698,Female,60-69,2010,0,135,-274552186
0,3402089.100616,Female,0-9,2017,0,135,-274552186
0,858445.831622,Female,70-79,2008,0,135,-274552186
0,546038.55989,Female,60-69,2007,0,135,-274552186
0,715406.370979,Female,60-69,2008,0,135,-274552186
0,299.047228,Female,70-79,2023,0,135,-274552186
0,2517173.812457,Female,0-9,2021,0,135,-274552186
0,34.338125,Female,10-19,2023,0,135,-274552186
0,698681.533196,Female,0-9,2013,0,135,-274552186
0,4615280.388775,Female,60-69,2015,0,135,-274552186
0,781744.410678,Female,20-29,2009,0,135,-274552186
0,1075364.558522,Female,20-29,2011,0,135,-274552186
0,1639189.54141,Female,40-49,2013,0,135,-274552186
0,1479059.622177,Female,30-39,2013,0,135,-274552186
0,918144.142368,Female,20-29,2010,0,135,-274552186
740,4578987.882272,Female,60-69,2020,0.16160776552062572,135,-274552186
-5,4735954.275154,Female,20-29,2019,-0.001055753436267586,135,-274552186
0,1591196.418891,Female,10-19,2022,0,135,-274552186
0,551911.507187,Female,30-39,2007,0,135,-274552186
252,4497170.083504,Female,40-49,2021,0.05603523889931522,135,-274552186
0,2051382.767967,Female,70-79,2013,0,135,-274552186
711,4871585.075975,Female,60-69,2018,0.14594839029013576,135,-274552186
0,872944.835044,Female,40-49,2008,0,135,-274552186
0,4165898.532512,Female,60-69,2014,0,135,-274552186
0,4719239.052704,Female,20-29,2014,0,135,-274552186
0,1037274.918549,Female,70-79,2009,0,135,-274552186
0,854624.396988,Female,10-19,2012,0,135,-274552186
0,533754.669405,Female,0-9,2010,0,135,-274552186
0,405717.078713,Female,0-9,2008,0,135,-274552186
0,1181005.869952,Female,40-49,2010,0,135,-274552186
0,180.11499,Female,50-59,2023,0,135,-274552186
0,45.664613,Female,70-79,2006,0,135,-274552186
751,6265865.785079,Female,50-59,2018,0.11985574312625202,135,-274552186
62,5673249.377139,Female,30-39,2017,0.010928481347891388,135,-274552186
